user_id,accuracy,precision,recall,balanced_accuracy
47832,0.733189,0.144068,0.435897,0.59828
47885,0.67036,0.152174,0.254545,0.499822
47907,0.710505,0.25817,0.391089,0.582834
47964,0.70098,0.152381,0.326531,0.53931
48006,0.545098,0.177419,0.144737,0.42991
48058,0.609195,0.219178,0.262295,0.488648
48073,0.727506,0.244565,0.381356,0.585375
48203,0.728774,0.275229,0.454545,0.616938
48342,0.533816,0.257143,0.190141,0.451688
48481,0.708475,0.157895,0.352941,0.553865
48497,0.713504,0.294872,0.184,0.526988
48547,0.553472,0.338843,0.23384,0.485629
48626,0.585554,0.376744,0.272727,0.513989
48749,0.683311,0.266667,0.346667,0.556312
48819,0.714917,0.25,0.383562,0.581109
49067,0.569886,0.301887,0.233151,0.484196
49149,0.655235,0.166271,0.239726,0.491761
49226,0.717196,0.109524,0.319444,0.537099
49236,0.694709,0.178694,0.315152,0.536624
49249,0.583784,0.195652,0.183673,0.455807
49303,0.706856,0.197183,0.352941,0.558864
49449,0.758123,0.06338,0.9,0.827757
49457,0.716129,0.35,0.4375,0.613059
49518,0.673611,0.179331,0.278302,0.514612
49675,0.725962,0.146789,0.432432,0.593525
50065,0.714643,0.230392,0.398305,0.583881
50203,0.752883,0.038961,0.75,0.751461
50217,0.714286,0.137615,0.348837,0.552023
50324,0.758883,0.138686,0.208791,0.519747
50390,0.726115,0.296296,0.45283,0.61722
50435,0.714286,0.340426,0.432432,0.60932
50511,0.763033,0.096154,0.625,0.696736
50520,0.750405,0.072555,0.621622,0.688004
50596,0.694125,0.155502,0.299539,0.526687
50630,0.728507,0.087719,0.384615,0.567308
50776,0.67563,0.290429,0.339768,0.554417
51063,0.675136,0.124555,0.238095,0.490252
51264,0.686495,0.21519,0.32381,0.541982
51310,0.602195,0.464865,0.310469,0.545721
51452,0.743156,0.081761,0.490566,0.622491
51455,0.563205,0.323113,0.233788,0.486321
51460,0.387195,0.775391,0.266801,0.513609
51464,0.711864,0.197368,0.384615,0.573167
51613,0.720848,0.294118,0.392157,0.59263
51876,0.75848,0.075676,0.666667,0.71392
51881,0.678125,0.256098,0.333333,0.54799
51944,0.555306,0.320475,0.227848,0.481401
51958,0.686813,0.302158,0.362069,0.568244
51967,0.643888,0.218045,0.263636,0.504834
52057,0.660877,0.288184,0.380228,0.559564
52076,0.717443,0.171875,0.371622,0.567402
52077,0.623897,0.073016,0.115,0.418054
52098,0.628073,0.222561,0.254355,0.496274
52225,0.751092,0.054795,0.64,0.696786
52263,0.647826,0.131188,0.197026,0.467641
52276,0.756057,0.091228,0.440678,0.606543
52282,0.70418,0.247619,0.373206,0.57211
52292,0.711462,0.286822,0.406593,0.592453
52302,0.614379,0.255663,0.246106,0.4957
52608,0.675827,0.189066,0.272131,0.515633
52612,0.747715,0.158845,0.505747,0.637183
52690,0.42541,0.372611,0.188406,0.429762
52743,0.597403,0.127036,0.146067,0.434174
52785,0.682805,0.09772,0.225564,0.482735
53094,0.652038,0.126935,0.20197,0.469578
53095,0.740905,0.156794,0.473684,0.619594
53119,0.643607,0.207317,0.252226,0.499358
53250,0.704202,0.184818,0.347826,0.553894
53260,0.701115,0.386228,0.395706,0.597264
53392,0.675187,0.138614,0.244541,0.495725
53605,0.698184,0.202864,0.364807,0.559969
53629,0.730702,0.260736,0.562914,0.659617
53721,0.765217,0.183333,0.6875,0.729264
53879,0.640049,0.17207,0.213622,0.479608
53913,0.574004,0.249071,0.213376,0.470201
53950,0.647108,0.194079,0.251064,0.497661
53964,0.75124,0.072829,0.565217,0.661363
53965,0.692163,0.215539,0.325758,0.545298
53986,0.763889,0.389831,0.605263,0.701508
54096,0.782383,0.285714,0.666667,0.731589
54183,0.628643,0.298701,0.285714,0.51999
54257,0.657604,0.113333,0.19883,0.467208
54348,0.67679,0.352459,0.380531,0.57676
54591,0.682711,0.273418,0.335404,0.553541
54658,0.731343,0.27451,0.451613,0.616983
54681,0.644573,0.263844,0.285211,0.520179
54702,0.649351,0.201681,0.263736,0.503836
55076,0.748031,0.433333,0.464286,0.646284
55256,0.612903,0.150602,0.183824,0.455019
55351,0.625,0.25187,0.25187,0.500831
55392,0.751845,0.218978,0.521739,0.650446
55394,0.728841,0.291262,0.447761,0.616105
55444,0.655371,0.302326,0.303109,0.536953
55454,0.68262,0.317881,0.358209,0.567512
55467,0.768707,0.32,0.585366,0.691892
55521,0.64527,0.213115,0.265306,0.504858
55554,0.653233,0.26087,0.288889,0.524466
55746,0.654718,0.09593,0.170103,0.452485
55802,0.619883,0.233716,0.243028,0.492482
55978,0.730241,0.151515,0.420561,0.591075
56226,0.697368,0.233333,0.378378,0.56877
56326,0.721698,0.240741,0.419355,0.596418
56655,0.743243,0.276316,0.5,0.641732
56700,0.696791,0.17268,0.320574,0.538512
56796,0.644745,0.25,0.276056,0.515118
56852,0.702492,0.239264,0.367925,0.568291
56864,0.758483,0.131579,0.60241,0.685008
57040,0.563277,0.60745,0.315476,0.559177
57140,0.687464,0.079007,0.202312,0.47155
57161,0.740741,0.09894,0.41791,0.589461
57191,0.647307,0.327801,0.314741,0.540991
57396,0.794872,0.3,0.75,0.775
57404,0.774834,0.153846,0.857143,0.813988
57612,0.576508,0.283951,0.23374,0.482983
57730,0.520228,0.336735,0.209192,0.467898
57746,0.500921,0.460241,0.244872,0.490516
57845,0.753086,0.168675,0.56,0.664615
57925,0.72807,0.131488,0.391753,0.57555
58196,0.807692,0.4,0.777778,0.795139
58237,0.658031,0.117048,0.202643,0.469583
193,0.617155,0.322581,0.28777,0.519991
1883,0.649446,0.164706,0.226721,0.485201
3914,0.763636,0.170732,0.583333,0.680556
5124,0.613924,0.35,0.285714,0.523591
5188,0.703863,0.338235,0.489362,0.623713
6238,0.686992,0.150794,0.287879,0.518353
12741,0.728132,0.290909,0.463768,0.621715
14156,0.717822,0.174157,0.371257,0.567746
